Researcher,Affiliation,Companies
"Beck, Aaron","Institute for Nuclear Waste Disposal (INE), Karlsruhe Institute of Technology, Karlsruhe 76021, Germany","['H2020 European Research Council [Unknown]', 'Swiss National Science Foundation Grant [Foundation]']"
"Beck, Aaron","Karlsruhe Institute of Technology (KIT), Institute for Nuclear Waste Disposal (INE), P.O. Box 3640, D-76021 Karlsruhe, Germany","['Horizon 2020 Framework Programme [Unknown]', 'H2020 European Research Council [Unknown]']"
"Beck, James","Suncor Energy Inc., Calgary, Alberta T2P 3Y7, Canada","['Environment and Climate Change Canada [Unknown]', 'Office of Energy Research and Development [Unknown]', 'Oil Sands Monitoring Program [Unknown]']"
"Beck, Marcus W.","Tampa Bay Estuary Program, St. Petersburg, Florida 33701, United States","['City of Los Angeles [Unknown]', 'Javna Agencija za Raziskovalno Dejavnost RS [Unknown]', 'Paul G. Allen Family Foundation [Foundation]']"
"Becker, Benjamin","Federal Institute of Hydrology, Koblenz, Rheinland-Pfalz 56068, Germany",['Grantov? Agentura Cesk? Republiky [Unknown]']
"Becker, Brian","Department of Geography and Environmental Studies, Central Michigan University, Mt. Pleasant, Michigan 48859, United States",['Division of Graduate Education [Unknown]']
"Becker, C. Guilherme","Department of Biological Sciences, The University of Alabama, Tuscaloosa, Alabama 35487, United States","['University of Alabama [University]', 'Universidade do Estado de Santa Catarina [University]']"
"Becker, Jacob S.","Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States","['Japan Society for the Promotion of Science [Unknown]', 'National Aeronautics and Space Administration [Unknown]', 'National Institute for Occupational Safety and Health [Government]']"
"Becker, Megan","Department of Chemical Engineering, Minerals to Metals Initiative, University of Cape Town, Cape Town 7701, South Africa; Department of Chemical Engineering, Centre for Minerals Research, University of Cape Town, Cape Town 7701, South Africa","['University of Cape Town [University]', 'Department of Science and Technology, Republic of South Africa [Government]', 'National Research Foundation [Foundation]']"
"Beckley, Lila","GSI Environmental, Houston, Texas 77098, United States","['PetroChina Innovation Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Beijing Nova Program [Unknown]', 'China University of Petroleum, Beijing [University]']"
"Beckwith, Katie V.","Centre for Molecular Informatics, Yusuf Hamied Department of Chemistry, University of Cambridge, Lensfield Road, Cambridge CB2 1EW, United Kingdom","['HORIZON EUROPE Framework Programme [Unknown]', 'Stiftelsen f?r Milj?strategisk Forskning [Unknown]']"
"Becnel, Tom",,['US National Science Foundation [Foundation]']
"Becnel, Tom","Department of Electrical and Computer Engineering, University of Utah, Salt Lake City, Utah 84112, United States","['Lawrence T. Dee - Janet T. Dee Foundation [Foundation]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'Division of Computer and Network Systems [Unknown]', 'Utah Clean Air Partnership [Unknown]']"
"Beddows, David C. S.","National Centre for Atmospheric Science (NCAS), School of Geography, Earth and Environmental Sciences, University of Birmingham, Birmingham B15 2TT, U.K.",['Natural Environment Research Council [Unknown]']
"Beddows, David C. S.","School of Geography, Earth & Environmental Sciences University of Birmingham, Birmingham B15 2TT, United Kingdom",['Natural Environment Research Council [Unknown]']
"Beddows, David C.S.","National Centre for Atmospheric Science, University of Birmingham, Edgbaston, Birmingham B15 2TT, United Kingdom","['Ministerio de Econom?a y Competitividad [Unknown]', 'Seventh Framework Programme [Unknown]']"
"Bedia, Carmen","Department of Environmental Chemistry, IDAEA-CSIC, Jordi Girona 18-26, 08034 Barcelona, Spain",['Ministerio de Ciencia e Innovaci?n [Unknown]']
"Bedics, Anna","Department of Molecular Ecology, Institute of Aquaculture and Environmental Safety, Hungarian University of Agriculture and Life Sciences, Páter K. u. 1., 2100 Gödöllö, Hungary","['Orsz?gos Tudom?nyos Kutat?si Alapprogramok [Unknown]', 'Tempus K?zalap?tv?ny [Unknown]', 'Innov?ci?s ?s Technol?giai Miniszt?rium [Unknown]']"
"Bednarska, Agnieszka J.","Institute of Nature Conservation, Polish Academy of Sciences, A. Mickiewicza 33, 31-120 Kraków, Poland","['Narodowe Centrum Nauki [Unknown]', 'Uniwersytet Jagiellonski w Krakowie [Unknown]', 'Not Found [Unknown]']"
"Bednaršek, Nina","Southern California Coastal Water Research Project, Costa Mesa, California 92626, United States; National Institute of Biology, Marine Biological Station, 6330 Piran, Slovenia","['Javna Agencija za Raziskovalno Dejavnost RS [Unknown]', 'Paul G. Allen Family Foundation [Foundation]']"
"Bedrosian, Noah","Tufts University School of Engineering, Medford, Massachusetts, 02155, United States","['Division of Research on Learning in Formal and Informal Settings [Unknown]', 'TISCH College of Civic Life, Tufts University [University]']"
"Bedru, Seifedin","School of Civil and Environmental Engineering, Addis Ababa University, Addis Ababa 1176, Ethiopia","['University of Michigan [University]', 'National Science Foundation [Foundation]']"
"Beeler, Bjorn","International Pollutants Elimination Network (IPEN), Första Långgatan 18, 413 28 Gothenburg, Sweden",['The University of Tokyo FSI?Nippon Foundation Research Project on Marine Plastics [University]']
"Been, Frederic","KWR Water Research Institute, Water Quality and Heath, Groningenhaven 7 3433 PE Nieuwegein, The Netherlands",['National Science Foundation [Foundation]']
"Beerling, David J.","Levehulme Centre for Climate Change Mitigation, School of Biosciences, University of Sheffield, Sheffield S10 2TN, U.K.",['Leverhulme Trust [Foundation]']
"Beerling, David J.","Leverhulme Centre for Climate Change Mitigation, School of Biosciences, University of Sheffield, Sheffield S10 2TN, U.K.","['Leverhulme Trust [Foundation]', 'Natural Environment Research Council [Unknown]', 'Yale Center for Natural Carbon Capture [Unknown]']"
"Beerling, David J.","The University of Sheffield, Leverhulme Centre for Climate Change Mitigation, Sheffield S10 2TN, United Kingdom","['U.S. Department of Energy (DOE), Office of Science, Energy Earthshot Initiative as part of the Carbon dioxide removal and high-performance computing: Planetary Boundaries of Earth Shots??? project [Government]']"
"Begg, James D.",,['U.S. Department of Energy [Government]']
"Begley, Jessica L.","Department of Chemistry, College of Arts and Sciences, University of Alaska Anchorage, 3211 Providence Dr., Anchorage, Alaska 99508, United States",['National Science Foundation [Foundation]']
"Begović, Tajana","Division of Physical Chemistry, Department of Chemistry, Faculty of Science, University of Zagreb, Horvatovac 102A, HR-10000 Zagreb, Croatia","['Bundesministerium f??r Bildung und Forschung [Unknown]', 'Helmholtz-Gemeinschaft [Unknown]', 'Division of Earth Sciences [Unknown]', 'Australian Research Council [Unknown]', 'U.S. Department of Energy [Government]', 'Hrvatska Zaklada za Znanost [Unknown]']"
"Behal, Arvind","Department of Biotechnology, GGDSD College, Sector 32-C, Chandigarh 160030, India",['Not Found [Unknown]']
"Behan-Bush, Riley M.","Roy J. Carver Department of Biomedical Engineering, University of Iowa, Iowa City, Iowa 52242, United States; Fraternal Order of Eagles Diabetes Research Center, University of Iowa, Iowa City, Iowa 52242, United States","['U.S. Department of Health and Human Services [Government]', 'U.S. Department of Health and Human Services [Government]']"
"Behera, Manaswini","School of Infrastructure, Indian Institute of Technology Bhubaneswar, Odisha, India",['Department of Science and Technology [Government]']
"Behle, Vera","Department of Civil and Environmental Engineering, Universitat Politècnica de Catalunya, Barcelona 08034, Spain",['HORIZON EUROPE Marie Sklodowska-Curie Actions [Unknown]']
"Behlen, Jonathan C.","Department of Environmental and Occupational Health, Texas A&M University, College Station, Texas 77843, United States","['National Institute of Environmental Health Sciences [University]', 'Welch Foundation [Foundation]']"
"Behra, Renata",,['Not Found [Unknown]']
"Behra, Renata","Swiss Federal Institute of Aquatic Science and Technology (Eawag), 8600 Dübendorf, Switzerland","['Svenska Forskningsr?det Formas [Unknown]', 'Bundesamt f?r Umwelt [Unknown]', 'FP7 Ideas: European Research Council [Unknown]']"
"Behrends, Thilo","Department of Earth Sciences—Geochemistry, Faculty of Geosciences, Utrecht University, P.O. Box 80021, 3508 TA Utrecht, The Netherlands",['Nederlandse Organisatie voor Wetenschappelijk Onderzoek [Unknown]']
"Behrendt, Lars","Institute of Environmental Engineering, Department of Civil, Environmental and Geomatic Engineering, ETH Zürich, Zürich 8093, Switzerland","['Simons Foundation [Foundation]', 'National Science Foundation [Foundation]', 'Gordon and Betty Moore Foundation [Foundation]']"
"Behrendt, Lars","Science for Life Laboratory, Department of Organismal Biology, Uppsala University, Norbyv. 18A, 75236 Uppsala, Sweden","['Science for Life Laboratory [Unknown]', 'Vetenskapsr?det [Unknown]', 'Carl Tryggers Stiftelse f?r Vetenskaplig Forskning [Unknown]']"
"Behrens, Paul","Institute of Environmental Sciences (CML), Leiden University, 2333 CC Leiden, The Netherlands; Leiden University College The Hague, Leiden University, 2595 DG The Hague, The Netherlands","['FP7 Ideas: European Research Council [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'China Scholarship Council [Unknown]', 'Austrian Science Fund [Unknown]', 'China Scholarship Council [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'ERC Consolidator Grant FINEPRINT [Unknown]', 'Jiangsu University [University]', 'National Natural Science Foundation of China [Foundation]', 'National Statistical Science Research Project [Unknown]', 'Ministry of Education Key Projects of Philosophy and Social Sciences Research [Government]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Universities Scientific Fund [University]', 'Be?ing Association for Science and Technology [Unknown]']"
"Behrens, Sebastian","Department of Civil, Environmental, and Geo-Engineering, University of Minnesota, Minneapolis, Minnesota 55455-0116, United States","['Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]']"
"Behringer, David","Öko-Recherche Büro für Umweltforschung und-beratung GmbH, Münchener Strasse 23a, 60329 Frankfurt/Main, Germany",['Umweltbundesamt [Unknown]']
"Bei, Jianye","College of Metrology and Measurement Engineering, China Jiliang University, Hangzhou 310018, Zhejiang, China; State Key Laboratory of Clean Energy Utilization, Zhejiang University, Hangzhou 310027, China","[""Ministry of Science and Technology of the People's Republic of China [Government]""]"
"Beighley, R. Edward","Civil and Environmental Engineering, Northeastern University, 400 Snell Engineering Center, 350 Huntington Avenue, Boston, Massachusetts 02115, United States","['Environmental Protection Agency [Government]', 'Northeastern University [University]']"
"Beighley, R. Edward","Department of Civil and Environmental Engineering, Northeastern University, Boston, Massachusetts 02115, United States","['Federal Emergency Management Agency [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'Texas Division of Emergency Management [Unknown]', 'Northeastern University [University]', 'National Aeronautics and Space Administration [Unknown]', 'Gulf Research Program [Unknown]']"
"Beigtan, Mohadese",,"['Amorepacific Corporation [Company]', 'National Research Foundation of Korea - Ministry of Education [Foundation]']"
"Beigtan, Mohadese","Soft Matter Physics Laboratory, School of Advanced Materials Science and Engineering; Sungkyunkwan University","['Amorepacific Corporation [Company]', 'National Research Foundation of Korea - Ministry of Education [Foundation]']"
"Beihoffer, Jon","U.S. Environmental Protection Agency, National Enforcement Investigations Center, Region 8, Denver, Colorado 80202, United States",['U.S. Environmental Protection Agency [Government]']
"Beil, Stephan","Institute of Water Chemistry, Technische Universität Dresden, Bergstr. 66, D-01062Dresden, Germany","['Deutsche Forschungsgemeinschaft [Unknown]', 'Deutschen Stiftungszentrum [Unknown]', 'S?chsisches Staatsministerium f?r Wissenschaft und Kunst [Unknown]', 'Kurt-Eberhard-Bode-Stiftung f?r Medizinische und Naturwissenschaftliche Forschung [Unknown]']"
"Bein, Keith J.","Air Quality Research Center, University of California, Davis, California 95616, United States; Center for Health & the Environment, University of California, Davis, California 95616, United States","['National Institute of Environmental Health Sciences [University]', 'National Institute on Aging [Government]', 'National Institute for Occupational Safety and Health [Government]']"
